GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
,1453.6,101.2,549.0,2297.0,63.28254244666957,4.405746626033958,23.900740095777103
,1669.6,1092.1,23.0,1921.0,86.91306611140031,56.85059864653825,1.1972930765226444
,2171.4,382.2,945.0,3620.0,59.983425414364646,10.558011049723756,26.10497237569061
,0.0,0.0,0.0,4.0,0.0,0.0,0.0
,1207.6,48.8,717.0,2672.0,45.19461077844311,1.8263473053892216,26.833832335329344
,8530.6,1947.7,1082.0,6924.0,123.20335066435587,28.129693818601964,15.626805314846909
,1495.8,102.7,646.0,2682.0,55.77181208053691,3.8292319164802384,24.086502609992543
,8615.0,1374.7,323.0,6234.0,138.19377606673083,22.051652229708054,5.181264035931986
,1244.0,56.5,149.0,2163.0,57.51271382339343,2.6121128062875636,6.888580674988443
,10709.7,1793.9,448.0,8092.0,132.34923381117153,22.16880869995057,5.536332179930796
,1614.4,250.4,308.0,1908.0,84.61215932914047,13.123689727463312,16.142557651991616
,2538.0,361.9,0.0,1809.0,140.2985074626866,20.005527915975676,0.0
,1542.5,1022.4,54.0,2060.0,74.87864077669903,49.63106796116505,2.621359223300971
,9570.0,1276.5,119.0,6788.0,140.9840895698291,18.805244549204478,1.7530936947554507
,4821.2,620.7,987.0,5693.0,84.68645705252064,10.902863165290709,17.337080625329353
,9799.1,1235.9,869.0,7166.0,136.74434831147084,17.246720625174436,12.126709461345243
,2982.1,269.9,424.0,3328.0,89.6063701923077,8.109975961538462,12.740384615384615
,6351.5,602.3,890.0,6409.0,99.1028241535341,9.397721953502886,13.886721797472305
,5151.1,465.5,985.0,3983.0,129.32714034647253,11.687170474516696,24.730102937484308
,10390.9,1417.9,80.0,7022.0,147.97636001139276,20.192252919396182,1.1392765593847907
,5768.6,868.5,36.0,4126.0,139.8109549200194,21.049442559379543,0.872515753756665
,11402.9,1592.8,79.0,7939.0,143.63143972792543,20.062980224209596,0.9950875425116513
,2952.3,53.0,281.0,5136.0,57.482476635514026,1.0319314641744548,5.471183800623053
,1488.7,40.1,200.0,3553.0,41.899802983394316,1.128623698283141,5.629045876723896
,0.0,0.0,0.0,23.0,0.0,0.0,0.0
,7160.2,700.8,104.0,4968.0,144.12640901771337,14.106280193236714,2.0933977455716586
,10056.0,1448.6,620.0,8145.0,123.46224677716391,17.785144260282383,7.612031921424187
,3499.7,624.3,88.0,3720.0,94.0779569892473,16.782258064516128,2.3655913978494625
,2671.4,461.1,23.0,2084.0,128.1861804222649,22.125719769673704,1.1036468330134357
,148.4,92.2,0.0,297.0,49.96632996632997,31.043771043771045,0.0
,2864.8,287.1,277.0,3440.0,83.27906976744187,8.34593023255814,8.05232558139535
,639.8,39.7,233.0,1395.0,45.863799283154115,2.845878136200717,16.702508960573475
,4525.7,505.5,679.0,3953.0,114.48773083733872,12.787756134581329,17.17682772577789
,1031.7,62.0,945.0,3055.0,33.770867430441896,2.0294599018003274,30.9328968903437
,5836.7,361.4,293.0,4736.0,123.24113175675674,7.630912162162162,6.186655405405405
,614.9,38.9,57.0,1954.0,31.468781985670418,1.99078812691914,2.9170931422722624
,1973.9,534.0,525.0,5248.0,37.61242378048781,10.17530487804878,10.003810975609756
,2637.1,332.0,591.0,4615.0,57.141928494041174,7.193932827735644,12.806067172264354
,1352.4,331.2,1266.0,2878.0,46.9909659485754,11.507991660875607,43.988881167477416
,1555.8,117.9,447.0,4005.0,38.84644194756554,2.9438202247191017,11.161048689138577
,6022.2,760.3,1115.0,6591.0,91.37005006827492,11.535427097557275,16.917008041268396
,689.9,164.5,57.0,1627.0,42.40319606637984,10.110633066994467,3.503380454824831
,1755.4,3438.9,0.0,4048.0,43.36462450592886,84.95306324110672,0.0
,2827.7,5501.3,59.0,6063.0,46.63862774204189,90.73560943427347,0.9731156193303645
,1685.6,280.8,291.0,5799.0,29.067080531126056,4.842214174857734,5.0181065700982925
,1119.6,349.6,126.0,3947.0,28.365847479098043,8.85736002026856,3.1922979478084623
,2583.8,963.6,1226.0,4372.0,59.09881061299177,22.040256175663313,28.042086001829823
,889.8,307.5,322.0,1555.0,57.22186495176849,19.774919614147908,20.707395498392284
,1173.0,238.0,560.0,2071.0,56.639304683727666,11.492032834379527,27.040077257363592
,1120.7,289.3,462.0,2071.0,54.11395461129889,13.969097054563012,22.308063737324964
,1136.1,167.1,551.0,1961.0,57.93472718001019,8.521162672106069,28.0979092299847
,192.8,123.2,0.0,454.0,42.46696035242291,27.13656387665198,0.0
,2126.7,683.4,581.0,5001.0,42.5254949010198,13.665266946610677,11.617676464707058
,2807.5,1064.1,111.0,3113.0,90.18631545133312,34.18246064889174,3.565692258271764
